Post ID,Platform,Post Date,Content Type,Impressions,Reach,Likes,Comments,Shares,Engagement Rate %,Engagement Rate,Content Type,Total Shares,Engagement Rate
POST-60001,Facebook,01/28/2025,Text,"24,500","7,733",383,68,188,8.26%,2.61%,Text,13094,0.02608163265
POST-60002,Instagram,10/29/2025,Image,"23,105","11,753",298,61,69,3.64%,1.85%,Image,18617,0.01852412898
POST-60003,Twitter,05/21/2024,Video,"24,700","14,185",168,54,238,3.24%,1.86%,Video,440197,0.01862348178
POST-60004,TikTok,06/27/2025,Video,"400,879","188,271","5,974","2,084","6,006",7.47%,3.51%,Reel,444520,0.03508290532
POST-60005,Instagram,04/15/2024,Video,"13,259","5,637",352,61,8,7.47%,3.18%,Carousel,25182,0.0317520175
POST-60006,Instagram,03/21/2024,Image,"6,469","3,790",205,10,13,6.02%,3.52%,,,
POST-60007,Instagram,08/26/2025,Reel,"35,618","19,926",667,236,182,5.45%,3.05%,winner,Reel,
POST-60008,LinkedIn,07/04/2024,Text,"9,468","4,910",173,67,20,5.30%,2.75%,,,
POST-60009,Instagram,01/29/2024,Reel,"99,396","75,092","5,314",887,706,9.20%,6.95%,,,
POST-60010,TikTok,09/15/2024,Reel,"27,570","16,102","1,791",337,297,15.06%,8.80%,,,
POST-60011,Facebook,08/26/2024,Video,"49,204","23,651",804,381,677,7.87%,3.78%,,,
POST-60012,TikTok,02/08/2024,Video,"491,623","208,356","20,614","3,190","7,463",15.01%,6.36%,,,
POST-60013,Instagram,04/29/2024,Carousel,"64,155","29,632","1,109",285,145,5.19%,2.40%,,,
POST-60014,Instagram,12/07/2024,Carousel,"28,492","15,059",332,141,89,3.73%,1.97%,,,
POST-60015,Instagram,09/11/2024,Video,"10,536","6,800",151,35,32,3.21%,2.07%,,,
POST-60016,LinkedIn,12/22/2025,Text,"18,688","11,271",652,106,143,7.99%,4.82%,,,
POST-60017,Facebook,03/25/2024,Carousel,"21,204","13,712",177,179,269,4.56%,2.95%,,,
POST-60018,Instagram,09/18/2025,Image,"28,864","14,737",703,146,68,6.22%,3.18%,,,
